symbol,name,hgnc_id,phase,family,role,tier,reference_ids,references,hgnc_url,entrez_id,ensembl_gene_id,uniprot_ids,location,locus_group,locus_type,gene_group,gene_group_id,rule_note,source_url,source_downloaded_at
CYP3A4,cytochrome P450 family 3 subfamily A member 4,HGNC:2637,Phase I,"Cytochrome P450 monooxygenases, ADME/carcinogen core",oxidation; procarcinogen activation and xenobiotic clearance,core,HGNC;XMETDB;BRENDA;CLINPGX;PHARMVAR;FDA_DDI,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | XMetDB xenobiotic biotransformations (https://jcheminf.biomedcentral.com/articles/10.1186/s13321-016-0161-3; doi:10.1186/s13321-016-0161-3) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226) | PharmVar star-allele nomenclature (https://www.pharmvar.org/; doi:10.1002/cpt.910) | FDA drug interaction tables for CYP enzymes and transporters (https://www.fda.gov/drugs/drug-interactions-labeling/drug-development-and-drug-interactions-table-substrates-inhibitors-and-inducers;),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:2637,1576,ENSG00000160868,P08684,7q22.1,protein-coding gene,gene with protein product,Cytochrome P450 family 3,1002,"Core CYPs emphasized in human carcinogen metabolism, ADME, or pharmacogenomics.",https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
CYP3A5,cytochrome P450 family 3 subfamily A member 5,HGNC:2638,Phase I,"Cytochrome P450 monooxygenases, ADME/carcinogen core",oxidation; procarcinogen activation and xenobiotic clearance,core,HGNC;XMETDB;BRENDA;CLINPGX;PHARMVAR;FDA_DDI,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | XMetDB xenobiotic biotransformations (https://jcheminf.biomedcentral.com/articles/10.1186/s13321-016-0161-3; doi:10.1186/s13321-016-0161-3) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226) | PharmVar star-allele nomenclature (https://www.pharmvar.org/; doi:10.1002/cpt.910) | FDA drug interaction tables for CYP enzymes and transporters (https://www.fda.gov/drugs/drug-interactions-labeling/drug-development-and-drug-interactions-table-substrates-inhibitors-and-inducers;),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:2638,1577,ENSG00000106258,P20815,7q22.1,protein-coding gene,gene with protein product,Cytochrome P450 family 3,1002,"Core CYPs emphasized in human carcinogen metabolism, ADME, or pharmacogenomics.",https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
CYP4F2,cytochrome P450 family 4 subfamily F member 2,HGNC:2645,Phase I,"Cytochrome P450 monooxygenases, ADME/carcinogen core",oxidation; procarcinogen activation and xenobiotic clearance,core,HGNC;XMETDB;BRENDA;CLINPGX;PHARMVAR;FDA_DDI,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | XMetDB xenobiotic biotransformations (https://jcheminf.biomedcentral.com/articles/10.1186/s13321-016-0161-3; doi:10.1186/s13321-016-0161-3) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226) | PharmVar star-allele nomenclature (https://www.pharmvar.org/; doi:10.1002/cpt.910) | FDA drug interaction tables for CYP enzymes and transporters (https://www.fda.gov/drugs/drug-interactions-labeling/drug-development-and-drug-interactions-table-substrates-inhibitors-and-inducers;),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:2645,8529,ENSG00000186115,P78329,19p13.12,protein-coding gene,gene with protein product,Cytochrome P450 family 4,1003,"Core CYPs emphasized in human carcinogen metabolism, ADME, or pharmacogenomics.",https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
EPHX1,epoxide hydrolase 1,HGNC:3401,Phase I,Epoxide hydrolases,epoxide hydrolysis; detoxication of simple epoxides and PAH dihydrodiol formation,core,HGNC;XMETDB;BRENDA;CLINPGX,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | XMetDB xenobiotic biotransformations (https://jcheminf.biomedcentral.com/articles/10.1186/s13321-016-0161-3; doi:10.1186/s13321-016-0161-3) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3401,2052,ENSG00000143819,P07099,1q42.12,protein-coding gene,gene with protein product,Abhydrolase domain containing,4,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
EPHX2,epoxide hydrolase 2,HGNC:3402,Phase I,Epoxide hydrolases,epoxide hydrolysis; detoxication of simple epoxides and PAH dihydrodiol formation,core,HGNC;XMETDB;BRENDA;CLINPGX,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | XMetDB xenobiotic biotransformations (https://jcheminf.biomedcentral.com/articles/10.1186/s13321-016-0161-3; doi:10.1186/s13321-016-0161-3) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3402,2053,ENSG00000120915,P34913,8p21.2-p21.1,protein-coding gene,gene with protein product,Abhydrolase domain containing|HAD Asp-based non-protein phosphatases,4|1045,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
FMO1,flavin containing dimethylaniline monoxygenase 1,HGNC:3769,Phase I,Flavin-containing monooxygenases,heteroatom oxidation; often detoxication-biased Phase I metabolism,core,HGNC;XMETDB;BRENDA,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | XMetDB xenobiotic biotransformations (https://jcheminf.biomedcentral.com/articles/10.1186/s13321-016-0161-3; doi:10.1186/s13321-016-0161-3) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3769,2326,ENSG00000010932,Q01740,1q24.3,protein-coding gene,gene with protein product,Flavin containing monooxygenases|Flavoproteins,1667|2258,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
FMO2,flavin containing dimethylaniline monoxygenase 2,HGNC:3770,Phase I,Flavin-containing monooxygenases,heteroatom oxidation; often detoxication-biased Phase I metabolism,core,HGNC;XMETDB;BRENDA,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | XMetDB xenobiotic biotransformations (https://jcheminf.biomedcentral.com/articles/10.1186/s13321-016-0161-3; doi:10.1186/s13321-016-0161-3) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3770,2327,ENSG00000094963,Q99518,1q24.3,protein-coding gene,gene with protein product,Flavin containing monooxygenases|Flavoproteins,1667|2258,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
FMO3,flavin containing dimethylaniline monoxygenase 3,HGNC:3771,Phase I,Flavin-containing monooxygenases,heteroatom oxidation; often detoxication-biased Phase I metabolism,core,HGNC;XMETDB;BRENDA,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | XMetDB xenobiotic biotransformations (https://jcheminf.biomedcentral.com/articles/10.1186/s13321-016-0161-3; doi:10.1186/s13321-016-0161-3) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3771,2328,ENSG00000007933,P31513,1q24.3,protein-coding gene,gene with protein product,Flavin containing monooxygenases|MicroRNA protein coding host genes|Flavoproteins,1667|1691|2258,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
FMO4,flavin containing dimethylaniline monoxygenase 4,HGNC:3772,Phase I,Flavin-containing monooxygenases,heteroatom oxidation; often detoxication-biased Phase I metabolism,core,HGNC;XMETDB;BRENDA,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | XMetDB xenobiotic biotransformations (https://jcheminf.biomedcentral.com/articles/10.1186/s13321-016-0161-3; doi:10.1186/s13321-016-0161-3) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3772,2329,ENSG00000076258,P31512,1q24.3,protein-coding gene,gene with protein product,Flavin containing monooxygenases|Flavoproteins,1667|2258,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
FMO5,flavin containing dimethylaniline monoxygenase 5,HGNC:3773,Phase I,Flavin-containing monooxygenases,heteroatom oxidation; often detoxication-biased Phase I metabolism,core,HGNC;XMETDB;BRENDA,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | XMetDB xenobiotic biotransformations (https://jcheminf.biomedcentral.com/articles/10.1186/s13321-016-0161-3; doi:10.1186/s13321-016-0161-3) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3773,2330,ENSG00000131781,P49326,1q21.1,protein-coding gene,gene with protein product,Flavin containing monooxygenases|Flavoproteins,1667|2258,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
FMOD,fibromodulin,HGNC:3774,Phase I,Flavin-containing monooxygenases,heteroatom oxidation; often detoxication-biased Phase I metabolism,core,HGNC;XMETDB;BRENDA,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | XMetDB xenobiotic biotransformations (https://jcheminf.biomedcentral.com/articles/10.1186/s13321-016-0161-3; doi:10.1186/s13321-016-0161-3) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3774,2331,ENSG00000122176,Q06828,1q32.1,protein-coding gene,gene with protein product,Small leucine rich repeat proteoglycans,573,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
MPO,myeloperoxidase,HGNC:7218,Phase I,Inflammation-linked oxidases and peroxidases,peroxidase/co-oxidation routes for local carcinogen activation,core,HGNC;XMETDB;BRENDA,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | XMetDB xenobiotic biotransformations (https://jcheminf.biomedcentral.com/articles/10.1186/s13321-016-0161-3; doi:10.1186/s13321-016-0161-3) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7218,4353,ENSG00000005381,P05164,17q22,protein-coding gene,gene with protein product,Heme peroxidase family,3476,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
PTGS1,prostaglandin-endoperoxide synthase 1,HGNC:9604,Phase I,Inflammation-linked oxidases and peroxidases,peroxidase/co-oxidation routes for local carcinogen activation,core,HGNC;XMETDB;BRENDA,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | XMetDB xenobiotic biotransformations (https://jcheminf.biomedcentral.com/articles/10.1186/s13321-016-0161-3; doi:10.1186/s13321-016-0161-3) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9604,5742,ENSG00000095303,P23219,9q33.2,protein-coding gene,gene with protein product,Prostaglandin-endoperoxide synthase family,3441,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
PTGS2,prostaglandin-endoperoxide synthase 2,HGNC:9605,Phase I,Inflammation-linked oxidases and peroxidases,peroxidase/co-oxidation routes for local carcinogen activation,core,HGNC;XMETDB;BRENDA,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | XMetDB xenobiotic biotransformations (https://jcheminf.biomedcentral.com/articles/10.1186/s13321-016-0161-3; doi:10.1186/s13321-016-0161-3) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9605,5743,ENSG00000073756,P35354,1q31.1,protein-coding gene,gene with protein product,Prostaglandin-endoperoxide synthase family,3441,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
AOX1,aldehyde oxidase 1,HGNC:553,Phase I,Molybdo-flavoenzymes,oxidation and nitroreduction under low-oxygen conditions,core,HGNC;XMETDB;BRENDA,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | XMetDB xenobiotic biotransformations (https://jcheminf.biomedcentral.com/articles/10.1186/s13321-016-0161-3; doi:10.1186/s13321-016-0161-3) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:553,316,ENSG00000138356,Q06278,2q33.1,protein-coding gene,gene with protein product,Flavoproteins|Xanthine dehydrogenase/aldehyde oxidase family,2258|3505,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
XDH,xanthine dehydrogenase,HGNC:12805,Phase I,Molybdo-flavoenzymes,oxidation and nitroreduction under low-oxygen conditions,core,HGNC;XMETDB;BRENDA,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | XMetDB xenobiotic biotransformations (https://jcheminf.biomedcentral.com/articles/10.1186/s13321-016-0161-3; doi:10.1186/s13321-016-0161-3) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:12805,7498,ENSG00000158125,P47989,2p23.1,protein-coding gene,gene with protein product,Flavoproteins|Xanthine dehydrogenase/aldehyde oxidase family,2258|3505,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
MAOA,monoamine oxidase A,HGNC:6833,Phase I,Monoamine oxidases,oxidative deamination of xenobiotic and endogenous amines,core,HGNC;XMETDB;BRENDA,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | XMetDB xenobiotic biotransformations (https://jcheminf.biomedcentral.com/articles/10.1186/s13321-016-0161-3; doi:10.1186/s13321-016-0161-3) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:6833,4128,ENSG00000189221,P21397,Xp11.3,protein-coding gene,gene with protein product,Flavoproteins,2258,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
MAOB,monoamine oxidase B,HGNC:6834,Phase I,Monoamine oxidases,oxidative deamination of xenobiotic and endogenous amines,core,HGNC;XMETDB;BRENDA,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | XMetDB xenobiotic biotransformations (https://jcheminf.biomedcentral.com/articles/10.1186/s13321-016-0161-3; doi:10.1186/s13321-016-0161-3) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:6834,4129,ENSG00000069535,P27338,Xp11.3,protein-coding gene,gene with protein product,Flavoproteins,2258,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
